Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Mean, Bwd Packet Length Mean,Flow Bytes/s, Flow Packets/s, Flow IAT Max,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count,Init_Win_bytes_forward, Init_Win_bytes_backward, min_seg_size_forward, Label
203.205.158.66-10.42.0.42-80-47991-6,10.42.0.42,47991,203.205.158.66,80,6,5/7/2017 4:55,0,0,0,0,0,0.070414262,28403337,0,0,0,0,1,0,1567,-1,32,BENIGN
172.217.12.138-10.42.0.151-443-39728-6,172.217.12.138,443,10.42.0.151,39728,6,30/06/2017 02:10:49,55,0,27.5,0,1195652.174,43478.26087,46,0,1,0,0,1,0,362,-1,32,SMSMALWARE_FAKENOTIFY
10.42.0.211-125.39.240.46-55065-80-6,10.42.0.211,55065,125.39.240.46,80,6,15/06/2017 10:46:41,360,395,90,98.75,69.28695555,0.734166416,9993541,0,0,0,1,0,0,65535,7,20,ADWARE_YOUMI
10.42.0.151-54.230.49.195-53706-443-6,10.42.0.151,53706,54.230.49.195,443,6,30/08/2017 12:21:07,31,0,31,0,794871.7949,51282.05128,39,0,1,0,0,1,0,122,122,32,RANSOMWARE_RANSOMBO
10.42.0.42-64.71.142.92-45671-80-6,64.71.142.92,80,10.42.0.42,45671,6,28/08/2017 03:41:26,0,0,0,0,0,26.61946149,75133,0,0,0,0,1,1,29,1369,20,RANSOMWARE_SVPENG
157.240.2.20-10.42.0.151-443-40555-6,10.42.0.151,40555,157.240.2.20,443,6,30/08/2017 11:38:59,42,0,14,0,115384.6154,8241.758242,248,0,0,0,0,1,0,1392,-1,32,RANSOMWARE_RANSOMBO
131.253.61.64-10.42.0.151-443-43331-6,10.42.0.151,43331,131.253.61.64,443,6,15/06/2017 10:22:55,416,5643,41.6,940.5,142.7235925,0.37689016,42151064,0,0,0,1,0,0,65535,64058,20,ADWARE_FEIWO
180.163.255.159-10.42.0.211-80-58017-6,10.42.0.211,58017,180.163.255.159,80,6,13/06/2017 09:33:57,0,0,0,0,0,0.317596228,12367670,0,0,0,1,0,0,65535,14600,20,ADWARE_KEMOGE
180.163.15.184-10.42.0.151-80-54337-6,10.42.0.151,54337,180.163.15.184,80,6,16/06/2017 01:45:33,0,0,0,0,0,0.102406329,38633608,0,0,0,1,0,0,65535,14400,20,ADWARE_FEIWO
10.42.0.42-104.193.88.109-44650-80-6,10.42.0.42,44650,104.193.88.109,80,6,30/06/2017 01:52:03,0,0,0,0,0,0.590695192,3385841,0,0,0,0,1,0,4989,-1,32,SMSMALWARE_FAKEINST
10.42.0.151-31.13.66.1-56653-443-6,10.42.0.151,56653,31.13.66.1,443,6,28/06/2017 03:05:00,5893,9247,155.0789474,280.2121212,224.9406864,1.05487376,63653349,0,1,0,0,1,0,2098,1020,32,SCAREWARE_FAKEAPPAL
131.253.61.64-10.42.0.211-443-38749-6,10.42.0.211,38749,131.253.61.64,443,6,19/06/2017 01:04:24,1011,11940,112.3333333,1085.454545,30112.8622,46.50275994,120231,0,0,0,1,0,0,65535,63441,20,BENIGN
192.229.173.173-10.42.0.211-80-53331-6,192.229.173.173,80,10.42.0.211,53331,6,26/06/2017 12:26:26,0,0,0,0,0,727.2727273,2750,0,0,0,0,1,1,283,1369,32,SCAREWARE_ANDROIDDEFENDER
10.42.0.211-106.11.94.21-52923-443-6,106.11.94.21,443,10.42.0.211,52923,6,28/06/2017 01:27:18,0,0,0,0,0,486.4996351,4111,0,0,0,0,1,1,14600,65535,20,SMSMALWARE_BIIGE
172.217.6.206-10.42.0.211-443-51016-6,172.217.6.206,443,10.42.0.211,51016,6,21/06/2017 07:41:33,0,0,0,0,0,8.104515836,246776,0,0,0,0,1,1,357,-1,32,BENIGN
220.181.7.190-10.42.0.211-443-56958-6,220.181.7.190,443,10.42.0.211,56958,6,15/06/2017 05:55:43,31,0,10.33333333,0,469696.9697,45454.54545,49,0,0,0,0,1,0,492,-1,20,ADWARE_GOOLIGAN
10.42.0.151-10.42.0.1-32690-53-17,10.42.0.151,32690,10.42.0.1,53,17,15/06/2017 05:22:46,37,158,37,158,387.1398111,3.970664729,503694,0,0,0,0,0,0,-1,-1,20,ADWARE_GOOLIGAN
10.42.0.151-104.192.110.245-49828-443-6,10.42.0.151,49828,104.192.110.245,443,6,30/06/2017 09:04:39,0,0,0,0,0,981.9967267,2933,0,0,0,0,1,0,4107,-1,20,SCAREWARE_PENETHO
10.42.0.211-114.134.80.163-37383-80-6,10.42.0.211,37383,114.134.80.163,80,6,6/7/2017 1:04,384,498,128,124.5,1743.089894,13.83404677,249012,0,0,0,1,0,0,65535,123,20,BENIGN
172.217.6.202-10.42.0.42-443-54963-6,10.42.0.42,54963,172.217.6.202,443,6,8/7/2017 9:42,253766,4987,1185.82243,28.33522727,2363.51857,3.562363498,101501362,0,0,0,1,0,0,65535,2370,32,BENIGN
192.229.173.173-10.42.0.42-80-42064-6,10.42.0.42,42064,192.229.173.173,80,6,7/7/2017 6:27,0,0,0,0,0,9.035300921,221354,0,0,0,0,1,1,285,285,32,BENIGN
10.42.0.211-10.42.0.1-23414-53-17,10.42.0.211,23414,10.42.0.1,53,17,21/06/2017 04:19:30,34,101,34,101,499.1662076,7.395054927,270451,0,0,0,0,0,0,-1,-1,44,BENIGN
10.42.0.151-10.42.0.1-15310-53-17,10.42.0.151,15310,10.42.0.1,53,17,14/06/2017 07:30:47,34,66,34,66,1516.783206,30.33566412,65929,0,0,0,0,0,0,-1,-1,32,ADWARE_SHUANET
10.42.0.211-10.42.0.1-52391-53-17,10.42.0.211,52391,10.42.0.1,53,17,23/08/2017 04:48:18,32,70,32,70,589.4182096,11.5572198,173052,0,0,0,0,0,0,-1,-1,20,RANSOMWARE_KOLER
10.42.0.151-65.55.118.92-54880-80-6,10.42.0.151,54880,65.55.118.92,80,6,16/06/2017 12:04:33,796,1646,132.6666667,274.3333333,37.14179782,0.182514977,65128656,0,0,0,1,0,0,65535,5176,32,ADWARE_GOOLIGAN
172.217.12.206-10.42.0.42-443-49187-6,10.42.0.42,49187,172.217.12.206,443,6,2/7/2017 5:14,717,260,65.18181818,32.5,4715.774434,91.70902175,39993,0,0,0,1,0,0,65535,340,32,BENIGN
10.42.0.151-10.42.0.1-7694-53-17,10.42.0.151,7694,10.42.0.1,53,17,17/07/2017 09:33:22,30,67,30,67,987.2371608,20.35540538,98254,0,0,0,0,0,0,-1,-1,40,BENIGN
10.42.0.211-66.198.24.253-38879-80-6,66.198.24.253,80,10.42.0.211,38879,6,6/8/2017 8:36,0,0,0,0,0,354.9875754,5634,0,0,0,0,1,1,29,1369,20,BENIGN
10.42.0.211-119.146.74.48-56388-80-6,10.42.0.211,56388,119.146.74.48,80,6,28/06/2017 03:00:46,0,0,0,0,0,1.351427141,1479917,0,0,0,0,1,1,2944,-1,20,SCAREWARE_FAKEJOBOFFER
174.35.73.164-10.42.0.42-80-53219-6,10.42.0.42,53219,174.35.73.164,80,6,4/7/2017 3:19,566,909,113.2,181.8,138.4005383,0.938308734,6319583,0,0,0,1,0,0,65535,675,32,BENIGN
